confidence_bucket,count,avg_confidence,accuracy
50-60%,639,0.5494420871824874,0.5633802816901409
60-70%,434,0.6420612722230544,0.6797235023041475
70-80%,141,0.7398119283183289,0.7092198581560284
80-90%,24,0.8245490618810507,1.0
90-100%,4,0.9622103228996722,0.75
