model,accuracy,log_loss,brier
logistic_regression_numpy,0.6328502415458938,0.6483151366677473,0.22824150589863051
sklearn_logistic_regression_c_0_1,0.6336553945249598,0.6491066128414182,0.22862625761908834
sklearn_logistic_regression_c_1,0.6288244766505636,0.6501847617939976,0.22911256081694145
hist_gradient_boosting,0.5990338164251208,0.6557340222829299,0.23187276187493222
gradient_boosting_depth_3,0.607085346215781,0.6560483787847645,0.23200413640994147
random_forest_depth_6,0.606280193236715,0.6676137395687343,0.23739578681191972
